2019-01-29 20:25:34,696 [INFO]: start action
2019-01-29 20:25:58,222 [INFO]: start action
2019-01-29 20:28:38,970 [INFO]: start action
2019-01-29 20:37:02,353 [INFO]: start action
2019-01-29 20:38:52,650 [INFO]: start action
2019-01-29 20:39:55,123 [INFO]: start action
2019-01-29 20:40:34,360 [INFO]: start action
2019-01-29 20:40:51,073 [INFO]: start action
2019-01-29 21:48:12,870 [INFO]: start action
2019-01-29 22:11:31,117 [INFO]: start action
2019-01-29 22:11:58,394 [INFO]: start action
2019-01-29 22:12:25,485 [INFO]: start action
2019-01-29 22:14:03,752 [INFO]: start action
2019-01-29 22:14:16,511 [INFO]: start action
2019-01-29 22:14:17,592 [INFO]: This network is trained from scratch
2019-01-29 22:14:18,075 [INFO]: Starting training from step 0...
2019-01-29 22:15:54,373 [INFO]: step 3400: gen_loss 1.314870, dis_loss 1.179373 (4267.5 examples/sec; 0.015 sec/batch)
2019-01-29 22:15:54,374 [INFO]: 46600 iterations left,expected to finsh at Y-01-29 22:26:58 (avg speed: 0.014 sec/batch)
2019-01-29 22:15:55,878 [INFO]: step 3500: gen_loss 1.809963, dis_loss 1.099322 (4137.4 examples/sec; 0.015 sec/batch)
2019-01-29 22:15:55,878 [INFO]: 46500 iterations left,expected to finsh at Y-01-29 22:26:59 (avg speed: 0.014 sec/batch)
2019-01-29 22:15:57,395 [INFO]: step 3600: gen_loss 2.157211, dis_loss 1.006835 (3870.0 examples/sec; 0.017 sec/batch)
2019-01-29 22:15:57,395 [INFO]: 46400 iterations left,expected to finsh at Y-01-29 22:27:00 (avg speed: 0.014 sec/batch)
2019-01-29 22:15:58,830 [INFO]: step 3700: gen_loss 1.076613, dis_loss 1.214604 (3843.3 examples/sec; 0.017 sec/batch)
2019-01-29 22:15:58,830 [INFO]: 46300 iterations left,expected to finsh at Y-01-29 22:27:00 (avg speed: 0.014 sec/batch)
2019-01-29 22:16:00,335 [INFO]: step 3800: gen_loss 1.486879, dis_loss 1.007692 (4166.6 examples/sec; 0.015 sec/batch)
2019-01-29 22:16:00,335 [INFO]: 46200 iterations left,expected to finsh at Y-01-29 22:27:01 (avg speed: 0.014 sec/batch)
2019-01-29 22:16:01,813 [INFO]: step 3900: gen_loss 0.927369, dis_loss 1.113625 (3917.4 examples/sec; 0.016 sec/batch)
2019-01-29 22:16:01,813 [INFO]: 46100 iterations left,expected to finsh at Y-01-29 22:27:02 (avg speed: 0.014 sec/batch)
2019-01-29 22:16:03,307 [INFO]: step 4000: gen_loss 1.488096, dis_loss 1.197137 (4216.3 examples/sec; 0.015 sec/batch)
2019-01-29 22:16:03,308 [INFO]: 46000 iterations left,expected to finsh at Y-01-29 22:27:02 (avg speed: 0.014 sec/batch)
2019-01-29 22:16:03,318 [DEBUG]: Saving checkpoint ...
2019-01-29 22:16:04,812 [INFO]: step 4100: gen_loss 2.035288, dis_loss 1.100680 (4156.5 examples/sec; 0.015 sec/batch)
2019-01-29 22:16:04,812 [INFO]: 45900 iterations left,expected to finsh at Y-01-29 22:27:03 (avg speed: 0.014 sec/batch)
2019-01-29 22:16:06,292 [INFO]: step 4200: gen_loss 2.030953, dis_loss 1.211123 (4043.5 examples/sec; 0.016 sec/batch)
2019-01-29 22:16:06,292 [INFO]: 45800 iterations left,expected to finsh at Y-01-29 22:27:04 (avg speed: 0.014 sec/batch)
2019-01-29 22:16:07,783 [INFO]: step 4300: gen_loss 1.805989, dis_loss 1.048757 (3448.8 examples/sec; 0.019 sec/batch)
2019-01-29 22:16:07,784 [INFO]: 45700 iterations left,expected to finsh at Y-01-29 22:27:04 (avg speed: 0.014 sec/batch)
2019-01-29 22:16:09,284 [INFO]: step 4400: gen_loss 0.703547, dis_loss 1.044421 (3727.2 examples/sec; 0.017 sec/batch)
2019-01-29 22:16:09,284 [INFO]: 45600 iterations left,expected to finsh at Y-01-29 22:27:05 (avg speed: 0.014 sec/batch)
2019-01-29 22:16:10,776 [INFO]: step 4500: gen_loss 0.716995, dis_loss 1.263612 (4037.1 examples/sec; 0.016 sec/batch)
2019-01-29 22:16:10,776 [INFO]: 45500 iterations left,expected to finsh at Y-01-29 22:27:06 (avg speed: 0.014 sec/batch)
2019-01-29 22:16:12,253 [INFO]: step 4600: gen_loss 1.870676, dis_loss 1.273018 (4014.6 examples/sec; 0.016 sec/batch)
2019-01-29 22:16:12,253 [INFO]: 45400 iterations left,expected to finsh at Y-01-29 22:27:06 (avg speed: 0.014 sec/batch)
2019-01-29 22:16:13,763 [INFO]: step 4700: gen_loss 1.069536, dis_loss 1.233293 (3989.1 examples/sec; 0.016 sec/batch)
2019-01-29 22:16:13,763 [INFO]: 45300 iterations left,expected to finsh at Y-01-29 22:27:07 (avg speed: 0.014 sec/batch)
2019-01-29 22:16:15,274 [INFO]: step 4800: gen_loss 1.481226, dis_loss 1.087687 (4271.5 examples/sec; 0.015 sec/batch)
