2019-01-14 10:21:31,165 [INFO]: start action
2019-01-14 10:21:33,639 [INFO]: Restore weights from ./checkpoints/mlp/model.ckpt-10000
2019-01-14 10:21:35,213 [INFO]: Starting training from step 10001...
2019-01-14 10:26:15,806 [INFO]: start action
2019-01-14 10:26:17,725 [INFO]: This network is trained from scratch
2019-01-14 10:26:19,167 [INFO]: Starting training from step 0...
2019-01-14 11:02:57,997 [INFO]: 9450 iterations left,expected to finsh at Y-01-14 21:31:29 (avg speed: 3.991 sec/batch)
2019-01-14 11:03:38,010 [INFO]: step 560: gen_loss 0.754634, dis_loss 0.702481 (33.0 examples/sec; 3.881 sec/batch)
2019-01-14 11:03:38,011 [INFO]: 9440 iterations left,expected to finsh at Y-01-14 21:31:31 (avg speed: 3.991 sec/batch)
2019-01-14 11:04:19,903 [INFO]: step 570: gen_loss 0.753516, dis_loss 0.702455 (29.2 examples/sec; 4.382 sec/batch)
2019-01-14 11:04:19,903 [INFO]: 9430 iterations left,expected to finsh at Y-01-14 21:32:05 (avg speed: 3.994 sec/batch)
2019-01-14 11:04:59,764 [INFO]: step 580: gen_loss 0.753344, dis_loss 0.695707 (31.5 examples/sec; 4.058 sec/batch)
2019-01-14 11:04:59,765 [INFO]: 9420 iterations left,expected to finsh at Y-01-14 21:32:04 (avg speed: 3.994 sec/batch)
2019-01-14 11:05:40,386 [INFO]: step 590: gen_loss 0.751303, dis_loss 0.698583 (32.5 examples/sec; 3.938 sec/batch)
2019-01-14 11:05:40,387 [INFO]: 9410 iterations left,expected to finsh at Y-01-14 21:32:16 (avg speed: 3.995 sec/batch)
2019-01-14 11:06:21,125 [INFO]: step 600: gen_loss 0.750541, dis_loss 0.709682 (31.5 examples/sec; 4.060 sec/batch)
2019-01-14 11:06:21,125 [INFO]: 9400 iterations left,expected to finsh at Y-01-14 21:32:29 (avg speed: 3.997 sec/batch)
2019-01-14 11:07:05,967 [INFO]: step 610: gen_loss 0.752716, dis_loss 0.711234 (27.1 examples/sec; 4.729 sec/batch)
2019-01-14 11:07:05,967 [INFO]: 9390 iterations left,expected to finsh at Y-01-14 21:33:48 (avg speed: 4.005 sec/batch)
2019-01-14 11:07:48,545 [INFO]: step 620: gen_loss 0.752626, dis_loss 0.692545 (30.6 examples/sec; 4.177 sec/batch)
2019-01-14 11:07:48,546 [INFO]: 9380 iterations left,expected to finsh at Y-01-14 21:34:29 (avg speed: 4.009 sec/batch)
2019-01-14 11:08:29,397 [INFO]: step 630: gen_loss 0.752776, dis_loss 0.694757 (31.8 examples/sec; 4.031 sec/batch)
2019-01-14 11:08:29,398 [INFO]: 9370 iterations left,expected to finsh at Y-01-14 21:34:41 (avg speed: 4.010 sec/batch)
2019-01-14 11:09:10,447 [INFO]: step 640: gen_loss 0.752688, dis_loss 0.697158 (31.3 examples/sec; 4.094 sec/batch)
2019-01-14 11:09:10,447 [INFO]: 9360 iterations left,expected to finsh at Y-01-14 21:34:56 (avg speed: 4.011 sec/batch)
2019-01-14 11:09:52,560 [INFO]: step 650: gen_loss 0.751743, dis_loss 0.695910 (30.8 examples/sec; 4.161 sec/batch)
2019-01-14 11:09:52,560 [INFO]: 9350 iterations left,expected to finsh at Y-01-14 21:35:27 (avg speed: 4.014 sec/batch)
2019-01-14 11:10:33,943 [INFO]: step 660: gen_loss 0.754474, dis_loss 0.695864 (30.5 examples/sec; 4.192 sec/batch)
2019-01-14 11:10:33,943 [INFO]: 9340 iterations left,expected to finsh at Y-01-14 21:35:46 (avg speed: 4.016 sec/batch)
2019-01-14 11:11:15,362 [INFO]: step 670: gen_loss 0.752905, dis_loss 0.696259 (31.3 examples/sec; 4.085 sec/batch)
2019-01-14 11:11:15,362 [INFO]: 9330 iterations left,expected to finsh at Y-01-14 21:36:04 (avg speed: 4.018 sec/batch)
2019-01-14 11:11:57,306 [INFO]: step 680: gen_loss 0.752178, dis_loss 0.697257 (30.8 examples/sec; 4.155 sec/batch)
2019-01-14 11:11:57,306 [INFO]: 9320 iterations left,expected to finsh at Y-01-14 21:36:30 (avg speed: 4.021 sec/batch)
2019-01-14 11:12:39,712 [INFO]: step 690: gen_loss 0.752446, dis_loss 0.695768 (29.2 examples/sec; 4.391 sec/batch)
2019-01-14 11:12:39,712 [INFO]: 9310 iterations left,expected to finsh at Y-01-14 21:37:02 (avg speed: 4.024 sec/batch)
2019-01-14 11:13:22,088 [INFO]: step 700: gen_loss 0.752042, dis_loss 0.696636 (29.3 examples/sec; 4.372 sec/batch)
2019-01-14 11:13:22,089 [INFO]: 9300 iterations left,expected to finsh at Y-01-14 21:37:33 (avg speed: 4.027 sec/batch)
2019-01-14 11:14:02,407 [INFO]: step 710: gen_loss 0.749910, dis_loss 0.697900 (33.0 examples/sec; 3.880 sec/batch)
2019-01-14 11:14:02,407 [INFO]: 9290 iterations left,expected to finsh at Y-01-14 21:37:33 (avg speed: 4.027 sec/batch)
2019-01-14 11:14:43,375 [INFO]: step 720: gen_loss 0.749868, dis_loss 0.696121 (30.3 examples/sec; 4.230 sec/batch)
2019-01-14 11:14:43,375 [INFO]: 9280 iterations left,expected to finsh at Y-01-14 21:37:43 (avg speed: 4.028 sec/batch)
2019-01-14 11:15:27,649 [INFO]: step 730: gen_loss 0.749272, dis_loss 0.698709 (28.0 examples/sec; 4.578 sec/batch)
2019-01-14 11:15:27,649 [INFO]: 9270 iterations left,expected to finsh at Y-01-14 21:38:38 (avg speed: 4.033 sec/batch)
2019-01-14 11:16:09,062 [INFO]: step 740: gen_loss 0.748286, dis_loss 0.697953 (31.0 examples/sec; 4.135 sec/batch)
2019-01-14 11:16:09,062 [INFO]: 9260 iterations left,expected to finsh at Y-01-14 21:38:52 (avg speed: 4.035 sec/batch)
2019-01-14 11:16:49,124 [INFO]: step 750: gen_loss 0.748462, dis_loss 0.694047 (31.7 examples/sec; 4.041 sec/batch)
