2019-01-17 17:15:30,305 [INFO]: start action
2019-01-17 17:17:40,506 [INFO]: start action
2019-01-17 17:58:18,783 [INFO]: start action
2019-01-17 17:58:46,067 [INFO]: start action
2019-01-17 17:58:47,305 [INFO]: This network is trained from scratch
2019-01-17 17:58:48,134 [INFO]: Starting training from step 0...
2019-01-17 18:05:58,094 [INFO]: step 6900: gen_loss 0.724162, dis_loss 1.361122 (2086.1 examples/sec; 0.061 sec/batch)
2019-01-17 18:05:58,094 [INFO]: 93100 iterations left,expected to finsh at Y-01-17 19:42:38 (avg speed: 0.062 sec/batch)
2019-01-17 18:06:04,369 [INFO]: step 7000: gen_loss 0.572113, dis_loss 1.447340 (2057.3 examples/sec; 0.062 sec/batch)
2019-01-17 18:06:04,369 [INFO]: 93000 iterations left,expected to finsh at Y-01-17 19:42:39 (avg speed: 0.062 sec/batch)
2019-01-17 18:06:04,582 [DEBUG]: Saving checkpoint ...
2019-01-17 18:06:11,208 [INFO]: step 7100: gen_loss 14.959293, dis_loss 11.288307 (2094.3 examples/sec; 0.061 sec/batch)
2019-01-17 18:06:11,208 [INFO]: 92900 iterations left,expected to finsh at Y-01-17 19:42:47 (avg speed: 0.062 sec/batch)
2019-01-17 18:06:17,674 [INFO]: step 7200: gen_loss 1.002418, dis_loss 0.736850 (1962.1 examples/sec; 0.065 sec/batch)
2019-01-17 18:06:17,674 [INFO]: 92800 iterations left,expected to finsh at Y-01-17 19:42:50 (avg speed: 0.062 sec/batch)
2019-01-17 18:06:23,861 [INFO]: step 7300: gen_loss 1.346700, dis_loss 0.990454 (2068.5 examples/sec; 0.062 sec/batch)
2019-01-17 18:06:23,861 [INFO]: 92700 iterations left,expected to finsh at Y-01-17 19:42:50 (avg speed: 0.062 sec/batch)
2019-01-17 18:06:29,974 [INFO]: step 7400: gen_loss 0.476791, dis_loss 1.349798 (2113.6 examples/sec; 0.061 sec/batch)
2019-01-17 18:06:29,974 [INFO]: 92600 iterations left,expected to finsh at Y-01-17 19:42:48 (avg speed: 0.062 sec/batch)
2019-01-17 18:06:36,030 [INFO]: step 7500: gen_loss 0.747640, dis_loss 1.193835 (2124.1 examples/sec; 0.060 sec/batch)
2019-01-17 18:06:36,030 [INFO]: 92500 iterations left,expected to finsh at Y-01-17 19:42:45 (avg speed: 0.062 sec/batch)
2019-01-17 18:06:42,084 [INFO]: step 7600: gen_loss 0.898261, dis_loss 1.392460 (2067.2 examples/sec; 0.062 sec/batch)
2019-01-17 18:06:42,084 [INFO]: 92400 iterations left,expected to finsh at Y-01-17 19:42:43 (avg speed: 0.062 sec/batch)
2019-01-17 18:06:48,148 [INFO]: step 7700: gen_loss 0.873605, dis_loss 1.357677 (2141.5 examples/sec; 0.060 sec/batch)
2019-01-17 18:06:48,149 [INFO]: 92300 iterations left,expected to finsh at Y-01-17 19:42:41 (avg speed: 0.062 sec/batch)
2019-01-17 18:06:54,195 [INFO]: step 7800: gen_loss 0.975306, dis_loss 1.347979 (2105.3 examples/sec; 0.061 sec/batch)
2019-01-17 18:06:54,195 [INFO]: 92200 iterations left,expected to finsh at Y-01-17 19:42:38 (avg speed: 0.062 sec/batch)
2019-01-17 18:07:00,258 [INFO]: step 7900: gen_loss 0.997228, dis_loss 1.391959 (2081.4 examples/sec; 0.061 sec/batch)
2019-01-17 18:07:00,258 [INFO]: 92100 iterations left,expected to finsh at Y-01-17 19:42:36 (avg speed: 0.062 sec/batch)
2019-01-17 18:07:06,294 [INFO]: step 8000: gen_loss 0.982584, dis_loss 1.354727 (2112.9 examples/sec; 0.061 sec/batch)
2019-01-17 18:07:06,294 [INFO]: 92000 iterations left,expected to finsh at Y-01-17 19:42:34 (avg speed: 0.062 sec/batch)
2019-01-17 18:07:06,501 [DEBUG]: Saving checkpoint ...
2019-01-17 18:07:12,936 [INFO]: step 8100: gen_loss 0.848864, dis_loss 1.340367 (2115.4 examples/sec; 0.061 sec/batch)
2019-01-17 18:07:12,936 [INFO]: 91900 iterations left,expected to finsh at Y-01-17 19:42:39 (avg speed: 0.062 sec/batch)
2019-01-17 18:07:19,242 [INFO]: step 8200: gen_loss 0.828268, dis_loss 1.323992 (2141.5 examples/sec; 0.060 sec/batch)
2019-01-17 18:07:19,242 [INFO]: 91800 iterations left,expected to finsh at Y-01-17 19:42:40 (avg speed: 0.062 sec/batch)
2019-01-17 18:07:25,368 [INFO]: step 8300: gen_loss 0.838181, dis_loss 1.376740 (2084.1 examples/sec; 0.061 sec/batch)
2019-01-17 18:07:25,369 [INFO]: 91700 iterations left,expected to finsh at Y-01-17 19:42:39 (avg speed: 0.062 sec/batch)
2019-01-17 18:07:31,430 [INFO]: step 8400: gen_loss 7.780634, dis_loss 42.716175 (2092.9 examples/sec; 0.061 sec/batch)
2019-01-17 18:07:31,430 [INFO]: 91600 iterations left,expected to finsh at Y-01-17 19:42:37 (avg speed: 0.062 sec/batch)
2019-01-17 18:07:37,498 [INFO]: step 8500: gen_loss 0.831716, dis_loss 1.382338 (2107.7 examples/sec; 0.061 sec/batch)
2019-01-17 18:07:37,498 [INFO]: 91500 iterations left,expected to finsh at Y-01-17 19:42:35 (avg speed: 0.062 sec/batch)
2019-01-17 18:07:43,543 [INFO]: step 8600: gen_loss 0.494730, dis_loss 1.513308 (2076.3 examples/sec; 0.062 sec/batch)
2019-01-17 18:07:43,543 [INFO]: 91400 iterations left,expected to finsh at Y-01-17 19:42:33 (avg speed: 0.062 sec/batch)
2019-01-17 18:07:49,598 [INFO]: step 8700: gen_loss 0.752939, dis_loss 1.368938 (2103.8 examples/sec; 0.061 sec/batch)
2019-01-17 18:07:49,598 [INFO]: 91300 iterations left,expected to finsh at Y-01-17 19:42:31 (avg speed: 0.062 sec/batch)
2019-01-17 18:07:55,678 [INFO]: step 8800: gen_loss 2.082543, dis_loss 2.004514 (2102.6 examples/sec; 0.061 sec/batch)
2019-01-17 18:07:55,678 [INFO]: 91200 iterations left,expected to finsh at Y-01-17 19:42:29 (avg speed: 0.062 sec/batch)
2019-01-17 18:08:01,742 [INFO]: step 8900: gen_loss 0.867165, dis_loss 1.068240 (2109.7 examples/sec; 0.061 sec/batch)
2019-01-17 18:08:01,743 [INFO]: 91100 iterations left,expected to finsh at Y-01-17 19:42:27 (avg speed: 0.062 sec/batch)
2019-01-17 18:08:07,812 [INFO]: step 9000: gen_loss 1.039561, dis_loss 1.378220 (2114.7 examples/sec; 0.061 sec/batch)
2019-01-17 18:08:07,812 [INFO]: 91000 iterations left,expected to finsh at Y-01-17 19:42:26 (avg speed: 0.062 sec/batch)
2019-01-17 18:08:08,117 [DEBUG]: Saving checkpoint ...
2019-01-17 18:08:14,339 [INFO]: step 9100: gen_loss 1.168950, dis_loss 1.377100 (2133.1 examples/sec; 0.060 sec/batch)
2019-01-17 18:08:14,339 [INFO]: 90900 iterations left,expected to finsh at Y-01-17 19:42:29 (avg speed: 0.062 sec/batch)
2019-01-17 18:08:20,390 [INFO]: step 9200: gen_loss 1.011530, dis_loss 1.401043 (2137.7 examples/sec; 0.060 sec/batch)
2019-01-17 18:08:20,390 [INFO]: 90800 iterations left,expected to finsh at Y-01-17 19:42:27 (avg speed: 0.062 sec/batch)
